,Titulo,Precio,Imagen
0,Videojuego SWITCH Mortal Kombat 11,$159.900,https://www.alkosto.com/medias/883929668953-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MzExNnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobU1TOW9PRFV2TVRFMU9EWTFNREV5TVRReU16Z3VhbkJufGI5MmFmZjhlMmFkMzhiMTBiZDI3ZmVjZTM5NzBkZGY4NGY2ZDQxNTZlYmI2YThmZjdkNTMwNjBlOGY4NDg3YTU
1,Videojuego PS4 PlayStation Hits: God Of War ,$119.900,https://www.alkosto.com/medias/711719534129-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1OTU3MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMFpDOW9ZVEV2TVRFMU9EWTFNakF3T0RnMk1EWXVhbkJufGVhMmZkZjk2MDc4NDdlMjIyYmU2YzUzYmNlODUyOWY1NjFmZjU1ZGMzNmI1N2E1MmFmMjZhOGJiMjQ5NDk1ZTc
2,Juguete para bebe FISHER PRICE Videojuego Portátil Aprende Conmigo,$111.930,https://www.alkosto.com/medias/194735140633-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxMTg4MnxpbWFnZS93ZWJwfGFETmtMMmhpTUM4eE5EVTRNRGsxTmpBek56RTFNQzh4T1RRM016VXhOREEyTXpOZk1EQXhYek14TUZkNE16RXdTQXwwNWM4ZjU0ODJiYjAzMmM5YmNjYjE3ODA2OGVmMzFjOGY4MDYyYTA5MzU0NGYwZDMxYmYyZjkxMDkzYzQ2MDBk
3,Consola PS5 Digital 1TB Slim Blanco|Negro + 1 Control inalámbrico + Juego PS5 Returnal (Voucher) + Juego PS5 Ratchet & Clank: Rift Apart (Voucher),$2.499.900,https://www.alkosto.com/medias/711719570820-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0NjUyfGltYWdlL3dlYnB8YUdWaUwyaGhZUzh4TkRZM05UQXlOekkyTXpVeE9DODNNVEUzTVRrMU56QTRNakJmTURBeFh6TXhNRmQ0TXpFd1NBfGQ4ZTg4MTQ3Yjc2OTI1ZTA1MjQ2ZmU2Y2I3ODM1ZGI3NTdhMTY5NzQ3MTQyMjlhNTMzOTJkZmI5OTNlNzhjNGY
4,Consola XBOX Series S 1TB + 1 Control Inalámbrico Negro Carbon,$1.899.900,https://www.alkosto.com/medias/196388179954-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MTUwfGltYWdlL3dlYnB8YURnM0wyZzROQzh4TkRVNU1EVTFOVFExTlRVeE9DOHhPVFl6T0RneE56azVOVFJmTURBeFh6TXhNRmQ0TXpFd1NBfDE4N2Y0ZjljNzZjOTk4ZGMyMTU2OTg4MDA1YjU2YWQxMzc3ZjNkM2FkMmM0NzIzYmIwYzFkYWRmNzlhNzc3OGQ
5,Consola PS5 Estándar 1TB Slim Blanco|Negro + 1 Control inalámbrico + Juego PS5 Returnal + Juego PS5 Ratchet & Clank: Rift Apart,$2.999.900,https://www.alkosto.com/medias/711719570875-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NzQ4fGltYWdlL3dlYnB8YURjd0wyZ3hZUzh4TkRZM05UQXpNalEwTURnMk1pODNNVEUzTVRrMU56QTROelZmTURBeFh6TXhNRmQ0TXpFd1NBfGVhY2FhNzkzNWI1MjM3YTM3MWQxYmFiZGE3NjM1MWUzNTg5NTc1MmFlNDExMmI2ZWUzODQxY2NmYTRhNzMwNmE
6,Consola NINTENDO SWITCH Modelo OLED Gris|Negro + Juego Super Smash Bros + 3 Meses de Nintendo Switch Online,$1.799.000,https://www.alkosto.com/medias/045496884529-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MTgwfGltYWdlL3dlYnB8YURFekwyZ3hZUzh4TkRVNU1EVTBPRE0zTnpZek1DOHdORFUwT1RZNE9EUTFNamxmTURBeFh6TXhNRmQ0TXpFd1NBfGMyOTZiZWUyOGE5ZTBmNWM2MGU0OWMxMzVlODQyODhlMGVkZWY3MGUxY2VkNjk1ZjdiMmNhNmViNGUxODMwODU
7,Consola NINTENDO SWITCH™ 1.1 + Juego Mario Kart 8 Descargable + 3 meses de Nintendo Switch Online,$1.599.000,https://www.alkosto.com/medias/045496884468-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxMDc5MnxpbWFnZS93ZWJwfGFEa3hMMmhtT0M4eE5EVTVNRFUwTmpBeE9ETXpOQzh3TkRVME9UWTRPRFEwTmpoZk1EQXhYek14TUZkNE16RXdTQXwyNWJmZDI5NTk0MzZlMGQ3YzIyNzk2YmRlY2MzZTUwNmZhOWJjNjUyY2E4NmVhODQ2NjBjMDM4ZjhlMzVkMDcz
8,Consola XBOX Series S 512 GB + 1 Control Inalámbrico,$1.699.900,https://www.alkosto.com/medias/889842651348-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MDU2fGltYWdlL3dlYnB8YURJNUwyZzBOUzh4TkRVNU1EazRPVGsxT1RFNU9DODRPRGs0TkRJMk5URXpORGhmTURBeFh6TXhNRmQ0TXpFd1NBfDMyOTBjMjk1OTIyOTA0MjMxMjVjYWY1YjY4N2E0Mjk5MjdjZGUyZWEyMzE3MTI1ODhhODQ3YjI5ZmQ2MmMzYTQ
9,Consola Xbox Series X 1TB + Control Inalámbrico,$2.999.900,https://www.alkosto.com/medias/889842640755-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wyNTY4fGltYWdlL3dlYnB8YUdFMUwyZzVZaTh4TkRVNU1EazROelU1T1Rrd01pODRPRGs0TkRJMk5EQTNOVFZmTURBeFh6TXhNRmQ0TXpFd1NBfDdjZWZhNmQ3MGJmMWFiNjk4NmYwOGU2ZGQ3MDUyMTMzNzE3YTlkNGRhZDYzM2I2MmY0N2IxOWZiZTAyMmRiMjk
